file_name,effects_overexposure_chronic,effects_overexposure_eyes,effects_overexposure_ingestion,effects_overexposure_inhalation,effects_overexposure_skin,first_aids_chronic,first_aids_eyes,first_aids_ingestion,first_aids_inhalation,first_aids_skin,health_hazards_chronic,health_hazards_eyes,health_hazards_ingestion,health_hazards_inhalation,health_hazards_skin,appearance,conditions_avoid,decomposition_products,eyes_protection,other_precautions,protective_equipment,protective_gloves,respiratory_protection,ventilation,disposal,extinguishing_media,fire_fighting,handling_storage,spill
blpxv,,eyes/skin: irritation.,,,skin: irritation.,, flush w/plenty of water for at least 15 mins.,,,,,eyes/skin: irritation.,,,skin: irritation.,BRIGHT BLUE.,"HEAT, ELECTRICAL EQUIPMENT & OPEN FLAME",CO & CO2,SAFETY GLASSES W/UNPERFERATED SIDESHIELD,USE APPROVED BONDING & GROUNDING PROCEDURES. KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. KEEP OUT OF REACH OF CHILDREN.,,RECOMMENDED,USE NIOSH/MSHA APPROVED RESPRIATORY DEVICE.,LOCAL EXHAUST & GENERAL TO KEEP BELOW TLV.,"PRODUCT WASTE MAY BE HAZARDOUS UNDER RCRA. TEST FOR IGNITABILITY TO DETERMINE HAZARDOUS WASTE NUMBER. INCINERATE IN APPROVED FACILITY. DON'T INCINERATE CLOSED CONTAINER. DISPOSE IN ACCORDANCE W/LOCAL, STATE & FEDERAL REGULATIONS. COMBUSTIBLE.","CO, DRY CHEMICAL & FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",AVOID BREATHING VAPOR & SPRAY MIST. AVOID CONTACT W/SKIN & EYES. CLOSED CONTAINERS MAY EXPLODE WHEN EXPOSED TO EXTREME HEAT. COMBUSTIBLE.,ELMINATE IGNITION SOURCES. VENTILATE AREA. REMOVE W/INERT ABSORBENT.
blpyr,,," poison, fatal, blindness.",,,,, induce vomiting by giving 1 tsp of syrup of ipecac or sticking finger down throat.,,,," watering, redness, itching, burning sensation, visual disturbances.",,,,,"HEAT, ELECTRICAL EQUIPMENT, SPARKS, OPEN FLAMES, HOT SURFACES, TEMPS >120F, & SOURCES OF IGNITION.","CO, OXIDES OF NITROGEN, FORMALDEHYDE, TOXIC GASES",,GROUND CONTAINERS WHEN POURING. AVOID FREE FALL OF LIQUIDS IN EXCESS OF A FEW INCHES. INTENTIONAL MISUSE BY DELIBERATELY CONCENTRATING/INHALING CONTENTS CAN BE HARMFUL/FATAL. AVOID WELDING/BRAZING/FLA ME-CUTTING ON SURFACES COATED W/PRODUCT.,,,WEAR NIOSH/MSHA APPROVED (TC-23C) PAINT SPRAY OR AIR SUPPLIED (TC-19C) RESPIRATORS.,GENERAL DILUTION/LOCAL & VAPOR EXHAUST IN VOLUME & PATTERN TO KEEP AIR,"DISPOSE OF IN ACCORDANCE W/LOCAL, STATE, & FEDERAL REGULATIONS. FLAMMABLE LIQUID. EMPTY CONTAINERS SHOULD BE RECYCLED OR DISPOSED OF THROUGH AN APPROVED WASTE MANAGEMENT FACILITY.","USE NFPA CLASS B EXTINGUISHERS SUCH AS CO2, DRY CHEMICAL, OR UNIVERSAL AQUEOUS FILM FORMING FOAM.","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR SELF CONTAINED BREATHING APPARATUS.",DON'T STORE >120F. AVOID CONTACT W/SKIN & INHALATION: OF VAPOR/SPRAY MIST. KEEP CONTAINERS TIGHTLY CLOSED.,"PROVIDE MAXIMUM VENTILATION. REMOVE ALL SOURCES OF IGNITION. TAKE UP SPILLED MATERIAL W/SAWDUST, VERMICULITE, OR OTHER ABSORBENT MATERIAL & PLACE INTO CONTAINERS FOR DISPOSAL. WEAR PROTECTIVE EQUIPMEN T."
blpwn,,,,,,, flush w/water.,,,,,,,,,LIQUID W/MINERAL OIL ODOR.,"HEAT, FIRE, & HIGH TEMPERATURES.",,CHEMICAL GOGGLES,,,RUBBER,AS REQUIRED,AS REQUIRED,"DISPOSE OF IN ACCORDANCE W/LOCAL, STATE, & FEDERAL REGULATIONS.",FOAM OR CO2,COOL FIRE SURFACE. USE WATER MIST TO PROTECT BODY. WEAR SCBA & FULL PROTECTIVE CLOTHING.,KEEP IN AN AIRTIGHT CONTAINER & AWAY FROM HEAT & FIRE.,SMALL SPILL: WIPE OFF W/PAPER OR CLOTH. LARGE SPILL: VACUUM TO COLLECTION CONTAINER.
blpvj,,"eyes/skin: irritation, redness, itching, & burning sensation.",,,"skin: irritation, redness, itching, & burning sensation.",,,, remove to fresh air & restore breathing.,,,"eyes/skin: irritation, redness, itching, & burning sensation.",,,"skin: irritation, redness, itching, & burning sensation.",,HEAT/ELECTRICAL EQUIPMENT & TOOLS/SPARKS/OPEN FLAME/PILOT LIGHTS/HEATERS/STOVES/APPLIANCES & ALL OTHER IGNITION SOURCES.,"CO, & CO2",,USE ONLY W/ADEQUATE VENTILATION. AVOID BREATHING VAPOR/SPRAY MIST. DON'T GET IN EYES OR ON SKIN. INTENTIONAL MISUSE BY DELIBERATELY CONCENTRATING & INHALING THE CONTENTS CAN BE HARMFUL OR FATAL. KEEP OUT OF REACH OF CHILDREN.,,,"USE PROPERLY FITTED NIOSH/MSHA APPROVED ORGANIC VAPOR/PARTICULATE RESPIRATOR. WHEN SANDING OR ABRADING THE DRIED FILM, WEAR A DUST MASK OR PARTICULATE RESPIRATOR.",LOCAL EXHAUST OR GENERAL EXHAUST TO KEEP AIR,"MAY BE RCRA HAZARDOUS WASTE. TEST FOR IGNITABILITY TO DETERMINE EPA HAZARDOUS WASTE NUMBERS. INCINERATE IN APPROVED FACILITY ACCORDING TO FEDERAL, STATE, & LOCAL REGULATIONS. DON'T INCINERATE CLOSED CONTAINERS. FLAMMABLE.","CO2, DRY CHEMICAL, OR FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. DON'T SMOKE.,REMOVE ALL SOURCES OF IGNITION. VENTILATE & REMOVE W/INERT ABSORBENT.
blpwy,,eyes/skin: irritation.,,,skin: irritation.,, flush w/plenty of water for at least 15 mins.,,,,,eyes/skin: irritation.,,,skin: irritation.,WARM GRAY,"HEAT, ELECTRICAL EQUIPMENT & OPEN FLAME",CO & CO2,SAFETY GLASSES W/UNPERFERATED SIDESHIELD,USE APPROVED BONDING & GROUNDING PROCEDURES. KEEP CONTAINER CLOSED WHEN NOT IN USE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DON'T TAKE INTERNALLY. KEEP OUT OF REACH OF CHILDREN.,,RECOMMENDED,USE NIOSH/MSHA APPROVED RESPRIATORY DEVICE.,LOCAL EXHAUST & GENERAL TO KEEP BELOW TLV.,"PRODUCT WASTE MAY BE HAZARDOUS UNDER RCRA. TEST FOR IGNITABILITY TO DETERMINE HAZARDOUS WASTE NUMBER. INCINERATE IN APPROVED FACILITY. DON'T INCINERATE CLOSED CONTAINER. DISPOSE IN ACCORDANCE W/LOCAL, STATE & FEDERAL REGULATIONS. COMBUSTIBLE.","CO, DRY CHEMICAL & FOAM","WATER SPRAY MAY BE INEFFECTIVE. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE. WEAR FULL PROTECTIVE CLOTHING & SELF-CONTAINED BREATHING APPARATUS.",AVOID BREATHING VAPOR & SPRAY MIST. AVOID CONTACT W/SKIN & EYES. CLOSED CONTAINERS MAY EXPLODE WHEN EXPOSED TO EXTREME HEAT. COMBUSTIBLE.,ELMINATE IGNITION SOURCES. VENTILATE AREA. REMOVE W/INERT ABSORBENT.
blmyy,,,,,,,,," if breathing problems occur during use, leave the area and get fresh air.",,,eyes/skin/respiratory system.,,,skin/respiratory system.,,,"BY FIRE: CARBON DIOXIDE, CARBON MONOXIDE, OXIDES OF NITROGEN, POSSIBILITY OF HYDROGEN CYANIDE.",SAFETY GLASSES W/UNPERFORATED SIDESHIELD,CONTENTS ARE COMBUSTIBLE. TRANSFER ONLY TO APPROVED CONTAINERS W/COMPLETE & APPROPRIATE LABELING. DO NOT TAKE INTERNALLY. KEEP OUT OF REACH OF CHILDREN. THIS PRODUCT MUST BE MIXED W/OTHER COMPONENTS B EFORE USE. READ & FOLLOW WARNING,USE BARRIER CREAM ON EXPOSED SKIN.,RECOMMENDED BY GLOVE SUPPLIER,"POS PRESS AIR SUPPLIED RSPRTR (NIOSH/MSHA), IF UNAVAIL, FITTED ORGANIC VAP/PARTIC RSPRTR (NIOSH/MSHA). WEAR RSPRTR DURING SPRAYING/TILL MIST GONE. NO PERSONS IN AREA W/OUT RSPRTR. SAND/ABRADE DRIED FI LM, WEAR DUST/MIST RSPRTR (NIOSH/MSHA)",LOCAL EXHAUST PREFERABLE/MECHANICAL ACCEPTABLE (CONC BELOW LEL). SEE OSHA 1910.94/.107/.108.,"INCINERATE IN APPROVED FACILITY. DO NOT INCINERATE CLOSED CONTAINER. DISPOSE OF IN ACCORDANCE WITH FEDERAL, STATE AND LOCAL REGULATIONS REGARDING POLLUTION.","CARBON DIOXIDE, DRY CHEMICAL, FOAM.",FULL PROTECT EQUIP INCLUDING SCUBA. WATER SPRAY MAY BE INEFFECTIVE. FOG NOZZLES-PREFERED. USE TO PREVENT BUILD UP/ COOL CNTNRS (PREVENT EXPLOSION/AUTO IGNITION),KEEP AWAY FROM HEAT AND OPEN FLAME. CONSULT NFPA CODE. USE APPROVED BONDING AND GROUNDING PROCEDURES. KEEP CONTAINERS CLOSED WHEN NOT IN USE.,"REMOVE SOURCES--IGNITION. VENT AREA. PROTECT PERSONNEL IN THE AREA. COVER SPILL W/ABSORBENT MATERIAL. DEACTIVATE SPILLED MATERIAL WITH A 10% AMMONIUM HYDROXIDE SOLLUTION (HOUSEHOLD AMMONIA). AFTER 10 MIN, COLLECT IN OPEN CNTNRS. ADD AMMONIA. COVER"
blmzb,,,,,,,,, move to fresh air.,,,eyes/nose/ throat.,,,,GREEN LIQUID WITH SOLVENT ODOR.,"HIGH TEMPERATURES, SPARKS, OR OPEN FLAMES.","BY HIGH HEAT/TEMPERATURE: CARBON MONOXIDE, CARBON DIOXIDE, AND OXIDES OF NITROGEN.",SPLASH GUARD/SIDE SHIELDS/CHEM GOGGLES,KEEP CNTNRS CLOSED TIGHT/UPRIGHT (PREVENT LEAKAGE). NO PROLONGED BREATHING--VAPORS/SPRAY MISTS. NO CONTACT W/SKIN/EYES. DON'T TAKE INTERNALLY. DON'T HANDLE UNTIL THE SAFETY PRECAUTIONS HAVE BEEN READ/ UNDERSTOOD. SMOKE ONLY IN SMOKING AREAS,FACE SHIELDS. THE USE OF LONG SLEEVE AND LONG LEG CLOTHING IS RECOMMENDED.,"COTTON, NEOPRENE, RUBBER, POLYETHYLENE","USE ORGANIC VAPOR RESPIRATOR (AIR PURIFYING/FRESH AIR SUPP). OBSERVE OSHA REGS (RSPRTR USE). PROVIDE VENT TO KEEP EXPOS LEVELS BELOW OSHA LIMITS. IF BELOW TLV, OTHER NIOSH/MSHA APPROVED RSPRTR MAY BE USED.",EXHAUST VENT SUFFICIENT TO KEEP AIRBORNE CONC (MIST/VAPOR) BELOW TLV'S MUST BE USED. REMOVE ALL IGNITION SOURCE.,"WASTE MUST BE DISPOSED IN ACCORD W/FEDERAL, STATE & LOCAL ENVIRONMENTAL CONTROL REGULATIONS. EMPTY CONTAINERS MUST BE HANDLED W/CARE (PRODUCT RESIDUE/FLAMMABLE VAPOR). DON'T INCINERATE CLOSED CNTNRS. EPA HAZARDOUS WASTE #: D001, F003, F005.","FOAM, ALCOHOL FOAM, CO2, DRY CHEMICAL, WATER FOG.",FULL FIRE FIGHTING EQUIP W/SCBA & FULL PROTECTIVE CLOTHING SHOULD BE WORN. WATER USED TO COOL CLOSED CONTAINERS/ PREVENT PRESSURE BUILD-UP/AUTO IGNIT/EXPLOSION.,"STORE IN BLDG IN COMPLIANCE W/OSHA 1910.106. AVOID HIGH TEMP, IGNITION SOURCES. STORE IN TIGHTLY CLOSED CONTAINERS. STORE IN WELL VENT AREAS.","EVACUATE ALL NON-ESSENTIAL PERSONNEL. REMOVE ALL SOURCES OF IGNITION (FLAME, SPARK SOURCES, HOT SURFACES). VENTILATE AREA. CONTAIN AND REMOVE WITH INERT ABSORBENT AND NON-SPARKING TOOLS."
blmxj,,"eyes, skin, and nose., vomiting and diarrhea.",,,"skin, and nose., vomiting and diarrhea.",,immediately flush with plenty of water for 15 minutes holding eyelids open.,,,,,,,inhalation: low hazard.,,"CLEAR, TAN COLOR SOLUTION, SLIGHT FORMALDEHYDE ODOR.",HIGH HEAT,NONE,SAFETY GOGGLES WITH OPTIONAL FACE SHIELD,AVOID CONTACT WITH EYES. WASH THOROUGHLY AFTER HANDLING. USE OF NON-ALKALINE TYPE HAND CLEANER REDUCES RISK OF ALLERGIC SKIN REACTION.,EYE WASH STATION AND SAFETY SHOWER. INDUSTRIAL-TYPE WORK CLOTHING AND APRON AS REQUIRED.,NEOPRENE OR NATURAL RUBBER,AN APPROPRIATE NIOSH-APPROVED RESPIRATOR FOR ORGANIC VAPOR SHOULD BE WORN IF NEEDED.,MECHANICAL (GENERAL) ROOM VENTILATION IS NORMALLY ADEQUATE.,"DISPOSAL SHOULD BE MADE IN ACCORDANCE WITH ALL APPLICABLE FEDERAL, STATE AND LOCAL LAWS AND REGULATIONS.","USE WATER FOG, CARBON DIOXIDE, FOAM, OR DRY CHEMICAL.",WEAR FIRE FIGHTING PROTECTIVE EQUIPMENT AND A FULL FACED SELF CONTAINED BREATHING APPARATUS. COOL FIRE EXPOSED CONTAINERS WITH WATER SPRAY.,KEEP CONTAINERS TIGHTLY CLOSED WHEN NOT IN USE AND AWAY FROM ACIDS. KEEP FROM CONTACT WITH OXIDIZING MATERIALS. PROTECT CONTAINERS FROM DAMAGE.,"SOAK UP WITH INERT ABSORBENT. PUT IN DISPOSAL CONTAINER. PREVENT RUNOFF FROM ENTERING DRAINS, SEWERS, AND STREAMS. REMOVE RESIDUE WITH LARGE AMOUNTS OF WATER BY FLUSHING TO AN ACID-FREE SEWER."
blmyn,,,,,,,,,,,,"eye/skin: irritation (gastrointestinal, nose, throat, eye, skin).",,,"skin: irritation (gastrointestinal, nose, throat, eye, skin).","LIQUID, SOLVENT ODOR",AVOID EXCESS HEAT(>100F) & IGNITION SOURCES.,"BURNING,INCLUDING HEATED BY WELDING OR CUTTING WILL PRODUCE SMOKE, CARBON MONOXIDE & CARBON DIOXIDE.","SAFETY GLASSES W/SIDESHIELD, FACESHIELD.","DO NOT REUSE CONTAINERS FOR ANY PURPOSE. CONTAINERS SHOULD BE GROUNDED AND BONDED TO THE RECEIVING CONTAINER. DO NOT WELD, BRAZE OR CUT ON EMPTY CONTAINER. NEVER USE PRESSURE TO EMPTY. DRUM IS NOT A P RESSURE VESSEL.",NOT LIKELY TO BE NEEDED.,REPEAT/PROLONG USE: IMPERMEABLE GLOVES.,RESTRICTED AREA: NIOSH APPR'D CHEMICAL CARTRIDGE RESPIRATOR. SPRAYING: MECHANICAL PREFILTER MAY BE REQUIRED. CONFINED AREAS: NIOSH/MSHA APPROVED AIR SUPPLIED RESPIRATOR. EXCEEDED TLV AREA: NIOSH/MSHA APPROVED RESPIRATOR W/RIGHT FACTOR.,GENERAL DILUTION/LOCAL EXHAUST VENTILATION IN SUFFICIENT VOLUME & PATTERN TO KEEP CONCENTRATIONS BELOW EXPOSURE LIMITS.,"FOLLOW FEDERAL, STATE AND LOCAL REGULATIONS & LAWS. INCINERATE IN EPA PERMITTED FACILITY. DO NOT INCINERATE CLOSED CONTAINERS. USE PRECAUTIONS FOR DISPOSAL OF HAZARDOUS MATERIAL-D001. USE HAZARDOUS WA STE LANDFILL FOR USED ABSORBENT.","USE NFPA CLASS B(CO2, ALL PURPOSE DRY CHEMICAL OR ALCOHOL FOAM) FOR LIQUID FIRES. POLYMER FOAM PREFERRED FOR LARGE FIRES","WATER MAY BE INEFFECTIVE, USE TO COOL CONTAINERS (FOG NOZZLE PREFERABLE) TO PREVENT PRESSURE BUILD-UP & AUTO- IGNITION OR EXPLOSION WHEN EXPOSED TO EXTREME HEAT",DO NOT STORE ABOVE 100F. LARGE QUANTITY STORAGE: COMPLY WITH OSHA 29CFR1910.106. DO NOT TAKE INTERNALLY. CLOSE CONTAINERS AFTER EACH USE.,"KEEP SPECTATORS AWAY. ELIMINATE ALL IGNITE SOURCES. DIKE, CONTAIN & REMOVE WITH INERT MATERIAL (SAND, EARTH, ETC). USE COVERED METAL CONTAINERS FOR RECOVERY AND DISPOSAL. USE NON-SPARKING TOOLS. PREVE NT CONTAMINATION OF SEWERS, STREAMS & GROUNDWATER."
blmwr,,eye irritation/corneal injury.,,,,,eyes:immediately flush with water for at least 5 minutes holding eyelids open.mechanical effects only.skin/ingestion:no adverse effects anticipated.n ote to physician:no specific antidote.supportive care.treatment based on judgment of the physician in response to reactions of the patient.,ingestion:no adverse effects anticipated.n ote to physician:no specific antidote.supportive care.treatment based on judgment of the physician in response to reactions of the patient.,remove to fresh air.consult a physician.eyes:immediately flush with water for at least 5 minutes holding eyelids open.mechanical effects only.skin/ingestion:no adverse effects anticipated.n ote to physician:no specific antidote.supportive care.treatment based on judgment of the physician in response to reactions of the patient.,skin/ingestion:no adverse effects anticipated.n ote to physician:no specific antidote.supportive care.treatment based on judgment of the physician in response to reactions of the patient.,,eye:solid/dust may cause irritation/corneal injury.skin:non-irritating.mechanical injury only.inhalation:dust/vapors may cause irritation of upper respiratory tract.ingestion:may cause choking.c hronic-none,ingestion:may cause choking.c hronic-none,inhalation:dust/vapors may cause irritation of upper respiratory tract.ingestion:may cause choking.c hronic-none,skin:non-irritating.mechanical injury only.inhalation:dust/vapors may cause irritation of upper respiratory tract.ingestion:may cause choking.c hronic-none,CELLULAR SOLID PLASTIC FOAM WITH NO ODOR,FIRE AND TEMPERATURES ABOVE 625F(329C),CARBON MONOXIDE AND OTHER TOXIC SUBSTANCES,SAFETY GLASSES,LARGE QUANTITIES OF THIS PRODUCT CAN CAUSE CORROSION OF HEATERS AND EVENTUALLY CREATE HOLES IN THE COMBUSTION CHAMBER LEADING TO THE RELEASE OF COMBUSTION GASES AND CARBON MONOXIDE. THIS PRODUCT IS CO MBUSTIBLE AND CAN BURN RAPIDLY.,"EYE WASH STATION, SAFETY SHOWER, WORK CLOTHING",NOT NEEDED.RUBBER/PLASTIC MAY BE USED.,NO RESPIRATORY PROTECTION SHOULD BE NEEDED.,GOOD GENERAL VENTILATION. LOCAL EXHAUST VENTILATION MAY BE NECESSARY FOR SOME OPERATIONS SUCH AS HOT-WIRE CUTTING.,"REUSE OR BURY IN AN APPROVED LANDFILL. DISPOSAL MUST BE MADE IN ACCORDANCE WITH ALL APPLICABLE FEDERAL, STATE AND LOCAL LAWS AND REGULATIONS.",USE WATER FOG.,WEAR FIRE FIGHTING PROTECTIVE EQUIPMENT AND A FULL FACED SELF CONTAINED BREATHING APPARATUS OPERATED IN POSITIVE PRESSURE. COOL FIRE EXPOSED CONTAINERS WITH H2O,"STORAGE-STORE IN A COOL AREA AWAY FROM EXCESSIVE HEAT,FLAME/SOURCES OF IGNITION.",PICK UP AND HANDLE AS ANY OTHER INERT MATERIAL.
blmbd,,,,,,,eye contact: flush areas w/plenty of lukewarm gently flowing water for a minimum of 15 minutes.,,,skin/eye contact: flush areas w/plenty of lukewarm gently flowing water for a minimum of 15 minutes.,,,,,,CLEAR LIQUID W/PUNGENT ODOR.,"INCREASING TEMPS CAUSE MORE RAPID EVOLUTION OF NOX. CAN REACT EXPLOSIVELY W/METALLIC POWDERS, CARBIDES.",NOX AND NITRIC ACID MISTS OR VAPORS.,CHEM WORK GOG & FULL LENGTH FSHLD.,SEVERE IRRITANT. CORROSIVE.,WEAR ACID RESISTANT CLOTHING & BOOTS. EYEWASH STATIONS AND DRENCH SHOWER FACILITIES.,ACID RESISTANT GLOVES - GAUNTLET TYPE.,"FOR LEAK OR SPILL, USE NIOSH/MSHA APPROVED SELF- CONTAINED BREATHING APPARATUS.",CLOSED VENTILATION SYSTEM.,"DISPOSAL OF NEUTRALIZED WASTE SHOULD BE CONSISTENT WITH REQUIREMENTS OF LOCAL, STATE, OR FEDERAL DISPOSAL AUTHORITIES.",NITRIC ACID IS NON-FLAMM BUT A STRONG OXIDIZER & IGNITES ORGANIC MATLS. USE EXTING MATL SUITABLE FOR SURROUNDING FIRE.,"WHEN USING WATER ON A FIRE INVOLVING NITRIC ACID, THE ACID WILL REACT W/THE WATER OR STEAM TO PRODUCE HEAT/CORROSIVE & TOXIC FUMES. WEAR NIOSH/MSHA (SUPP DATA)","WEAR PROTECTIVE CLOTHING. STORE IN COOL, WELL VENTILATED PROPERLY DRAINED AREA AWAY FROM DIRECT SUNLIGHT; STORE AWAY FROM INCOMPATIBLE MATERIALS.",DILUTE SMALL SPILLS CAUTIOUSLY W/PLENTY OF WATER. NEUTRALIZE RESIDUE W/ALKALI SUCH AS SODA ASH OR LIMESTONE. ADEQUATE VENTILATION IS REQUIRED TO ELIMINATE ANY NOX RELEASED. LARGE SPILLS SHOULD BE DIKE D FOR RECOVERY OR CONTROLLED NEUTRALIZATION.
blmcw,,,,,,,,,,,,,,,,VISCOUS LIQUID WITH DISTINCT SOLVENT ODOR.,"AVOID PROLONGED BREATHING OF VAPORS, SKIN OR EYE CONTACT. STORE AWAY FROM HEAT, ELECTRICAL EQUIP, SPARKS OR OPEN FLAME.","USUAL PRODUCTS OF COMBUSTION; CARBON DIOXIDE, CARBON MONOXIDE, OTHER OXIDES, SMOKE FUMES, ETC.",CHEMICAL WORKERS GOGGLES .,"HNDL WHERE VENT IS ADEQ & AWAY FROM SOURCES OF IGNIT EMPTIED CNTNR MAY STILL CNTN HAZ MATL HENCE IT IS ADVISED TO OBSERVE THIS MSDS WHEN HNDLG THEM. AVOID PRLNG BRTHG OF VAPS, SKIN OR EYE CNTCT. IN CA SE OF CNTCT, WASH THORO WITH (SUPP DATA)",EYE WASH & SAFETY SHOWERS IN WORK AREA RECOMMENDED. USE PROTECTIVE HAND CREAMS TO PREVENT DEFAT OF SKIN UPON EXPOSURE.,CHEMICALLY RESISTANT PLASTIC OR RUBBER.,NIOSH/MSHA APPROVED CHEMICAL MECHANICAL FILTER RESPIRATOR.,"REQUIRED, 200 CFM MINIMUM.","DISPOSE OF IN ACCORDANCE WITH LOCAL, STATE AND FEDERAL REGULATIONS.","FOAM, CO2, DRY CHEMICAL OR WATER FOG.",WEAR NIOSH/MSHA APPRVD SCBA & FULL PROT EQUIP . USE H2O TO COOL FIRE EXPOS CNTNRS. AVOID SPREADING FIRE W/ COOLING H2O. FOG NOZ FOR H2O. (SUPP DATA),KEEP CLOSURE TIGHT & CNTNR IN UPRIGHT POSITION. STORE AWAY FROM HEAT/OTHER SOURCES OF IGNIT. CNTNRS MUST BE GROUNDED &/OR BONDED DURING LIQ TRANSFER.,VENTILATE AREA. REMOVE ALL SOURCES OF IGNITION. CONTAIN AND REMOVE WITH INERT ABSORBANT AND NON-SPARKING TOOLS. WEAR PROTECTIVE EQUIPMENT DURING CLEANUP. CONTAIN LIQUID TO PREVENT CONTAMINATION OF SOI L & GROUND WATER.
blmbs,,,,,,, flush with copious amounts of water for at least 15 minutes.,,,,,eyes may cause severe irritation or burns.,,,skin or eyes may cause severe irritation or burns.,KOH CLEAR LIQUID; NO ODOR.,NONE SPECIFIED BY MANUFACTURER.,CADMIUM OXIDE FUMES UPON DECOMPOSITION WHEN REACTED WITH MAGNESIUM.,CHEM WORK GOG/FULL LENGTH FCSHLD ,NONE SPECIFIED BY MANUFACTURER.,INSULATED TOOLS.,RUBBER GLOVES,NONE REQUIRED WHERE ADEQUATE VENTILATION EXISTS. WEAR NIOSH/MSHA APPROVED RESPIRATOR FOR EXPOSURE OF CONCERN .,"LOCAL EXHAUST, MECHANICAL.","DISPOSE IN ACCORDANCE WITH EXISTING FEDERAL, STATE AND LOCAL ENVIRONMENTAL LAWS AND REGULATIONS.","DRY CHEMICAL, FOAM.",USE NIOSH/MSHA APPROVED SCBA AND FULL PROTECTIVE CLOTHING IF INVOLVED IN FIRE.,"WEAR RUBBER GOVES, USE INSULATED TOOLS, PROTECT EYES WITH SAFETY GOGGLES OR FACESHIELD.","WEAR NIOSH/MSHA APPROVED SCBA AND FULL PROT CLOTHING. VENTILATE AREA. NEUTRALIZE SPILL SLOWLY WITH DILUTE HYDROCHOLORIC, ACETIC OR BORIC ACID. FLUSH AREA WITH FLOODING AMOUNTS OF WATER."
blmlx,,,,,,, immediately flush with large quantities of water for at least 15 min and call a physician.,,,,,,,,,"AMBER OIL, MINERAL OIL ODOR.",NONE SPECIFIED BY MANUFACTURER.,"CO AND CO2 DURING BURNING, POX FROM BURNING. SOX, NOX, ALDEHYDES, KETONES.",CHEM WORK GOG/FULL LENGTH FSHLD .,KEEP OUT OF REACH OF CHILDREN!!! OBSERVE A TWA/PEL OF 5 MG/M3 FOR MINERAL OIL MIST.,NONE,NONE,NONE. NIOSH/MSHA APPROVED SCBA AND FULL PROTECTIVE EQUIPMENT .,NONE.,"DISPOSE OF IN ACCORDANCE WITH ALL APPLICABLE FEDERAL, STATE AND LOCAL REGULATIONS.",DRY CHEMICAL OR WATER FOG OR CO2 OR FOAM OR SAND/ EARTH. CLOSED CONTAINERS EXPOSED TO FIRE MAY BE COOLED WITH WATER.,DENSE SMOKE. FIRE FIGHTERS SHOULD WEAR NIOSH/MSHA APPROVED SCBA AND FULL PROTECTIVE EQUIPMENT .,KEEP CONTAINER CLOSED UNTIL READY FOR USE.,"TRNASFER BULK OF MIXTURE INTO ANOTHER CONTAINER. ABSORB RESIDUE WITH AN INERT MATERIAL SUCH AS EARTH, SAND, OR VERMICULITE. SWEEP UP AND DISPOSE AS SOLID WASTE IN ACCORDANCE WITH LOCAL, STATE, AND FED ERAL REGULATIONS."
